TE,species
AluYa5,Homo_sapiens
AluYb10,Homo_sapiens
AluYb11,Homo_sapiens
AluYb8,Homo_sapiens
AluYb8a1,Homo_sapiens
AluYb9,Homo_sapiens
AluYk13,Homo_sapiens
AmnSINE1_HS,Homo_sapiens
CHARLIE10,Homo_sapiens
CHARLIE2A,Homo_sapiens
CHARLIE2B,Homo_sapiens
CHARLIE3,Homo_sapiens
CHARLIE5,Homo_sapiens
CHARLIE6,Homo_sapiens
CHARLIE7,Homo_sapiens
CHARLIE8,Homo_sapiens
CHARLIE9,Homo_sapiens
CHESHIRE,Homo_sapiens
CHESHIRE_A,Homo_sapiens
CHESHIRE_B,Homo_sapiens
CR1_HS,Homo_sapiens
ERV3-16A3_I,Homo_sapiens
ERV3-16A3_LTR,Homo_sapiens
ERVL,Homo_sapiens
FORDPREFECT,Homo_sapiens
FORDPREFECT_A,Homo_sapiens
GOLEM_A,Homo_sapiens
GOLEM_C,Homo_sapiens
HAL1B,Homo_sapiens
HARLEQUIN,Homo_sapiens
HARLEQUINLTR,Homo_sapiens
HERV-K14CI,Homo_sapiens
HERV-K14I,Homo_sapiens
HERV15I,Homo_sapiens
HERV16,Homo_sapiens
HERV17,Homo_sapiens
HERV18,Homo_sapiens
HERV19I,Homo_sapiens
HERV1_LTR,Homo_sapiens
HERV23,Homo_sapiens
HERV3,Homo_sapiens
HERV30I,Homo_sapiens
HERV35I,Homo_sapiens
HERV38I,Homo_sapiens
HERV39,Homo_sapiens
HERV46I,Homo_sapiens
HERV49I,Homo_sapiens
HERV4_I,Homo_sapiens
HERV4_LTR,Homo_sapiens
HERV52I,Homo_sapiens
HERV57I,Homo_sapiens
HERV9,Homo_sapiens
HERVE,Homo_sapiens
HERVFH19I,Homo_sapiens
HERVG25,Homo_sapiens
HERVH48I,Homo_sapiens
HERVI,Homo_sapiens
HERVIP10F,Homo_sapiens
HERVIP10FH,Homo_sapiens
HERVK11DI,Homo_sapiens
HERVK11I,Homo_sapiens
HERVK13I,Homo_sapiens
HERVK3I,Homo_sapiens
HERVK9I,Homo_sapiens
HERVL,Homo_sapiens
HERVL74,Homo_sapiens
HERVL_40,Homo_sapiens
HERVP71A_I,Homo_sapiens
HSMAR1,Homo_sapiens
HSMAR2,Homo_sapiens
HSTC2,Homo_sapiens
HUERS-P2,Homo_sapiens
HUERS-P3,Homo_sapiens
HUERS-P3B,Homo_sapiens
IN25,Homo_sapiens
KANGA2_A,Homo_sapiens
L1,Homo_sapiens
L1HS,Homo_sapiens
L1M1B_5,Homo_sapiens
L1M2A1_5,Homo_sapiens
L1M2A_5,Homo_sapiens
L1M2B_5,Homo_sapiens
L1M2C_5,Homo_sapiens
L1M2_5,Homo_sapiens
L1M3B_5,Homo_sapiens
L1M3C_5,Homo_sapiens
L1M4B,Homo_sapiens
L1M6B_5end,Homo_sapiens
L1MA1,Homo_sapiens
L1MA2,Homo_sapiens
L1MA3,Homo_sapiens
L1MA4,Homo_sapiens
L1MA4A,Homo_sapiens
L1MA5,Homo_sapiens
L1MA5A,Homo_sapiens
L1MA6,Homo_sapiens
L1MA7,Homo_sapiens
L1MA8,Homo_sapiens
L1MA9,Homo_sapiens
L1MB1,Homo_sapiens
L1MB2,Homo_sapiens
L1MB3,Homo_sapiens
L1MB3_5,Homo_sapiens
L1MB4,Homo_sapiens
L1MB5,Homo_sapiens
L1MB8,Homo_sapiens
L1MC1,Homo_sapiens
L1MC2,Homo_sapiens
L1MC4,Homo_sapiens
L1MCA_5,Homo_sapiens
L1MCB_5,Homo_sapiens
L1MCC_5,Homo_sapiens
L1MD1,Homo_sapiens
L1MD2,Homo_sapiens
L1MD3,Homo_sapiens
L1MDB_5,Homo_sapiens
L1ME1,Homo_sapiens
L1ME2,Homo_sapiens
L1ME3,Homo_sapiens
L1ME3A,Homo_sapiens
L1ME4A,Homo_sapiens
L1MEA_5,Homo_sapiens
L1MEB_5,Homo_sapiens
L1MED_5,Homo_sapiens
L1MEE_5,Homo_sapiens
L1ME_ORF2,Homo_sapiens
L1PA10,Homo_sapiens
L1PA11,Homo_sapiens
L1PA12,Homo_sapiens
L1PA12_5,Homo_sapiens
L1PA13,Homo_sapiens
L1PA13_5,Homo_sapiens
L1PA14,Homo_sapiens
L1PA14_5,Homo_sapiens
L1PA15,Homo_sapiens
L1PA16,Homo_sapiens
L1PA16_5,Homo_sapiens
L1PA17_5,Homo_sapiens
L1PA2,Homo_sapiens
L1PA3,Homo_sapiens
L1PA4,Homo_sapiens
L1PA5,Homo_sapiens
L1PA6,Homo_sapiens
L1PA7,Homo_sapiens
L1PA7_5,Homo_sapiens
L1PA8,Homo_sapiens
L1PB1,Homo_sapiens
L1PB2,Homo_sapiens
L1PB2c,Homo_sapiens
L1PB3,Homo_sapiens
L1PB4,Homo_sapiens
L1PBA1_5,Homo_sapiens
L1PBA_5,Homo_sapiens
L1PBB_5,Homo_sapiens
L1PREC1,Homo_sapiens
L1PREC2,Homo_sapiens
L3,Homo_sapiens
LOOPER,Homo_sapiens
LOR1,Homo_sapiens
LOR1I,Homo_sapiens
LTR06,Homo_sapiens
LTR1,Homo_sapiens
LTR10B,Homo_sapiens
LTR10B2,Homo_sapiens
LTR10C,Homo_sapiens
LTR10D,Homo_sapiens
LTR10F,Homo_sapiens
LTR11,Homo_sapiens
